nanosEpoch,time,msuk,source,cbidPx,cbidSz,caskPx,caskSz,bidPx,bidSz,askPx,askSz,tradePx,tradeSz,channelId,seqNum,msgIdx
1565157926597040000,07:05:26.597045150 WEST,79889147,EUREX,82.2,121,0,0,82.2,121,0,0,0,0,0,597189,22
1565157926597040000,07:05:26.597045150 WEST,79889147,EUREX,82.2,121,82.3,232,82.2,121,82.3,232,0,0,0,597189,22
1565157926597050000,07:05:26.597054640 WEST,79889147,EUREX,82.2,121,82.3,244,82.2,121,82.3,244,0,0,0,597190,22
1565157926597060000,07:05:26.597066000 WEST,79889147,EUREX,82.2,133,82.3,244,82.2,133,82.3,244,0,0,0,597192,22
1565157926598050000,07:05:26.598050740 WEST,79889147,EUREX,82.2,133,82.3,248,82.2,133,82.3,248,0,0,0,597283,0
1565157926599160000,07:05:26.599167250 WEST,79889147,EUREX,82.2,133,82.3,264,82.2,133,82.3,264,0,0,0,597398,0
1565157926599340000,07:05:26.599340520 WEST,79889147,EUREX,82.2,133,82.3,280,82.2,133,82.3,280,0,0,0,597418,0
1565157926599340000,07:05:26.599348570 WEST,79889147,EUREX,82.2,133,82.3,296,82.2,133,82.3,296,0,0,0,597419,0
1565157926599450000,07:05:26.599450750 WEST,79889147,EUREX,82.2,133,82.3,312,82.2,133,82.3,312,0,0,0,597429,0
